                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0482,                 3.0409,                 1.2056,                0.97372,                0.03561,                0.12883,                0.09265,                0.99346,                 3.0411,                 1.1554,               0.070588,               0.003268,               0.003268
                      1,                 1.0554,                  2.009,                 1.2013,                0.70121,                0.11567,                0.14244,                0.09679,                 1.2128,                 2.6056,                 1.3522,               0.040562,              0.0065752,              0.0065752
                      2,                 1.1087,                 1.8728,                 1.2391,                0.45376,                0.22749,                 0.1985,                0.11671,                 1.2687,                 2.4017,                 1.4522,                0.01051,               0.009856,               0.009856
                      3,                 1.1738,                 1.8665,                 1.2748,                0.50515,                0.32709,                0.29374,                0.17777,                 1.3438,                  2.283,                  1.496,              0.0098812,              0.0098812,              0.0098812
                      4,                  1.177,                 1.7922,                 1.2815,                0.53669,                0.26317,                0.26434,                0.15085,                 1.3922,                 2.3611,                 1.6605,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.1738,                 1.7839,                 1.3017,                 0.5922,                0.28113,                0.25774,                0.15668,                 1.3711,                 2.6561,                 1.5829,              0.0098416,              0.0098416,              0.0098416
                      6,                 1.1768,                 1.6682,                 1.2957,                0.43979,                0.28759,                0.19649,                0.10895,                 1.5255,                 2.5476,                 1.6783,               0.009802,               0.009802,               0.009802
                      7,                 1.1584,                 1.6066,                 1.2723,                 0.5165,                 0.3454,                0.33993,                0.21196,                 1.3385,                 1.9057,                 1.5447,              0.0097624,              0.0097624,              0.0097624
                      8,                 1.1346,                 1.5623,                 1.2526,                0.59976,                0.23807,                0.27166,                0.14874,                 1.3976,                 2.2514,                 1.5533,              0.0097228,              0.0097228,              0.0097228
                      9,                 1.1249,                 1.5042,                 1.2637,                0.62598,                0.32593,                0.33877,                0.21117,                 1.2939,                 1.7682,                 1.4664,              0.0096832,              0.0096832,              0.0096832
                     10,                 1.1395,                 1.4842,                 1.2552,                0.55043,                0.32438,                0.32603,                0.21201,                  1.334,                 1.8466,                 1.5217,              0.0096436,              0.0096436,              0.0096436
                     11,                 1.1366,                 1.4391,                 1.2603,                0.66681,                0.26755,                0.30469,                0.20297,                 1.2481,                 1.7644,                 1.4079,               0.009604,               0.009604,               0.009604
                     12,                 1.1218,                 1.4201,                  1.257,                0.56864,                0.33714,                0.35348,                 0.2185,                 1.2459,                 1.6556,                 1.4175,              0.0095644,              0.0095644,              0.0095644
                     13,                  1.134,                    1.4,                 1.2599,                0.69801,                0.28546,                0.40744,                0.27479,                 1.2721,                 1.7629,                 1.4535,              0.0095248,              0.0095248,              0.0095248
                     14,                  1.085,                  1.304,                 1.2292,                0.56769,                0.39661,                 0.4652,                0.32453,                 1.2077,                  1.567,                  1.385,              0.0094852,              0.0094852,              0.0094852
                     15,                 1.0824,                 1.3387,                 1.2196,                 0.5892,                0.31359,                0.36538,                0.23302,                 1.2777,                 1.5201,                 1.4228,              0.0094456,              0.0094456,              0.0094456
                     16,                 1.0628,                 1.3053,                 1.2311,                0.60548,                0.34025,                0.38953,                0.24003,                  1.248,                 1.5896,                 1.4325,               0.009406,               0.009406,               0.009406
                     17,                 1.0675,                 1.3066,                 1.2438,                0.60547,                0.39863,                0.51502,                0.37262,                 1.1899,                 1.4774,                  1.391,              0.0093664,              0.0093664,              0.0093664
                     18,                 1.0717,                 1.2342,                 1.2149,                 0.6248,                0.31279,                 0.3812,                0.23851,                 1.2654,                  1.607,                 1.4525,              0.0093268,              0.0093268,              0.0093268
                     19,                 1.0472,                 1.2275,                 1.2118,                0.60436,                 0.3277,                0.38667,                0.25835,                 1.2473,                 1.5774,                 1.4625,              0.0092872,              0.0092872,              0.0092872
                     20,                 1.0386,                 1.2144,                 1.2012,                0.60833,                0.31781,                0.44625,                0.32764,                 1.2668,                 1.6375,                 1.4776,              0.0092476,              0.0092476,              0.0092476
                     21,                 1.0545,                 1.2047,                 1.2208,                0.73093,                0.36062,                 0.4781,                  0.336,                 1.2396,                 1.4084,                 1.4335,               0.009208,               0.009208,               0.009208
                     22,                 1.0697,                 1.1882,                 1.2111,                0.57222,                0.44225,                0.48076,                0.32272,                 1.1856,                 1.3579,                 1.3727,              0.0091684,              0.0091684,              0.0091684
                     23,                 1.0428,                 1.1412,                 1.1977,                 0.6168,                0.38005,                0.49638,                0.36273,                 1.1656,                 1.3765,                 1.3857,              0.0091288,              0.0091288,              0.0091288
                     24,                 1.0265,                 1.1529,                 1.1871,                0.60542,                0.38339,                0.39467,                0.24865,                 1.2435,                 1.5129,                 1.4422,              0.0090892,              0.0090892,              0.0090892
                     25,                 1.0109,                 1.0989,                 1.1882,                0.63592,                0.40852,                0.47392,                0.30716,                  1.239,                 1.3382,                 1.4132,              0.0090496,              0.0090496,              0.0090496
                     26,                 1.0256,                 1.1371,                 1.1977,                0.41925,                0.43933,                0.43685,                 0.2759,                 1.1789,                 1.2863,                 1.3585,                0.00901,                0.00901,                0.00901
                     27,                  1.021,                  1.096,                 1.1933,                0.63562,                0.39843,                0.44337,                 0.2937,                 1.1969,                 1.3592,                  1.367,              0.0089704,              0.0089704,              0.0089704
                     28,                 1.0139,                 1.0553,                 1.1711,                0.63263,                0.42374,                0.43701,                0.29416,                 1.2049,                 1.2954,                 1.3945,              0.0089308,              0.0089308,              0.0089308
                     29,                 1.0101,                 1.0543,                 1.1832,                0.60286,                0.40215,                0.48098,                0.32729,                 1.1841,                 1.3086,                 1.3946,              0.0088912,              0.0088912,              0.0088912
                     30,                0.98153,                 1.0465,                 1.1537,                0.62602,                0.41981,                0.45856,                0.31316,                 1.1422,                 1.3159,                 1.3513,              0.0088516,              0.0088516,              0.0088516
                     31,                 1.0108,                 1.0399,                 1.1819,                0.44188,                0.49607,                0.48141,                0.32805,                 1.1809,                 1.3165,                 1.3525,               0.008812,               0.008812,               0.008812
                     32,                0.98107,                  1.022,                  1.166,                0.52712,                0.54602,                0.54524,                0.36169,                  1.184,                 1.3486,                 1.4111,              0.0087724,              0.0087724,              0.0087724
                     33,                0.97112,                 1.0519,                 1.1675,                0.57269,                0.51759,                0.53058,                 0.3735,                 1.1633,                 1.3053,                  1.365,              0.0087328,              0.0087328,              0.0087328
                     34,                0.99487,                 1.0226,                 1.1808,                0.45402,                0.56005,                 0.5292,                0.32406,                 1.1794,                 1.2758,                 1.3777,              0.0086932,              0.0086932,              0.0086932
                     35,                0.98822,                 1.0399,                 1.1767,                0.69597,                0.38434,                0.44625,                0.30684,                 1.1694,                 1.2472,                 1.3559,              0.0086536,              0.0086536,              0.0086536
                     36,                0.97084,                 1.0023,                 1.1621,                0.72447,                0.37353,                 0.4561,                 0.3127,                 1.1343,                 1.3007,                 1.3381,               0.008614,               0.008614,               0.008614
                     37,                0.97218,                0.98212,                 1.1554,                0.73391,                0.35857,                0.53838,                0.38198,                 1.1264,                  1.213,                 1.3152,              0.0085744,              0.0085744,              0.0085744
                     38,                0.96766,                0.96837,                 1.1558,                0.72046,                0.39287,                0.46914,                0.30642,                 1.1482,                 1.2547,                 1.3278,              0.0085348,              0.0085348,              0.0085348
                     39,                 0.9708,                0.95754,                 1.1612,                0.68479,                0.48332,                0.47556,                0.31501,                 1.1417,                  1.301,                 1.3524,              0.0084952,              0.0084952,              0.0084952
                     40,                0.97186,                 0.9622,                 1.1393,                0.40676,                0.54924,                0.44027,                0.30376,                 1.1526,                  1.325,                 1.3422,              0.0084556,              0.0084556,              0.0084556
                     41,                 0.9275,                0.90919,                 1.1335,                0.66484,                0.42596,                 0.4914,                 0.3355,                 1.1372,                 1.2427,                 1.3568,               0.008416,               0.008416,               0.008416
                     42,                0.94693,                0.93696,                 1.1531,                0.68154,                0.42145,                0.47179,                0.30849,                 1.1345,                 1.2278,                  1.321,              0.0083764,              0.0083764,              0.0083764
                     43,                0.93265,                0.92192,                 1.1409,                 0.5743,                0.51847,                0.54463,                0.36632,                  1.134,                 1.2941,                 1.3435,              0.0083368,              0.0083368,              0.0083368
                     44,                0.93598,                0.90751,                 1.1294,                0.55631,                0.51965,                 0.5118,                0.34356,                 1.1479,                 1.3056,                 1.3582,              0.0082972,              0.0082972,              0.0082972
                     45,                0.93157,                0.88654,                 1.1329,                0.48771,                0.56731,                0.51515,                0.33579,                 1.1249,                 1.2132,                 1.3181,              0.0082576,              0.0082576,              0.0082576
                     46,                0.93832,                0.89075,                 1.1238,                0.63584,                0.54158,                0.61019,                 0.4211,                 1.0833,                 1.1709,                  1.277,               0.008218,               0.008218,               0.008218
                     47,                0.93986,                 0.8892,                 1.1311,                0.77931,                 0.4641,                0.53262,                0.35521,                 1.1053,                 1.2016,                 1.3237,              0.0081784,              0.0081784,              0.0081784
                     48,                0.91727,                0.87505,                 1.1374,                0.74564,                0.47705,                0.55943,                0.37159,                 1.1368,                 1.1947,                 1.3314,              0.0081388,              0.0081388,              0.0081388
                     49,                0.91603,                0.86763,                 1.1186,                 0.8089,                0.55619,                0.64262,                 0.4585,                 1.1445,                 1.2108,                 1.3419,              0.0080992,              0.0080992,              0.0080992
                     50,                0.92799,                 0.8805,                 1.1288,                0.67674,                0.41853,                0.51299,                0.35821,                 1.0967,                 1.2217,                 1.2964,              0.0080596,              0.0080596,              0.0080596
                     51,                 0.9056,                0.82835,                 1.1196,                0.71003,                0.43642,                0.53006,                0.35607,                 1.1335,                 1.1985,                 1.3248,                0.00802,                0.00802,                0.00802
                     52,                0.92536,                0.85215,                 1.1392,                0.66842,                 0.4576,                0.52291,                 0.3528,                 1.1049,                 1.1899,                 1.3107,              0.0079804,              0.0079804,              0.0079804
                     53,                0.90149,                0.84099,                 1.1189,                0.44174,                0.59742,                0.56849,                0.38526,                 1.1228,                 1.2213,                  1.316,              0.0079408,              0.0079408,              0.0079408
                     54,                0.91357,                0.86061,                 1.1153,                0.49892,                0.55015,                0.54106,                0.37246,                  1.114,                 1.1184,                 1.3159,              0.0079012,              0.0079012,              0.0079012
                     55,                 0.9046,                0.85539,                 1.1135,                0.84512,                0.37487,                0.53188,                0.36812,                 1.1298,                 1.1804,                 1.3339,              0.0078616,              0.0078616,              0.0078616
                     56,                0.88936,                0.81857,                 1.1091,                0.73883,                 0.4168,                0.47717,                0.32999,                 1.0845,                 1.1849,                 1.3164,               0.007822,               0.007822,               0.007822
                     57,                0.90282,                0.82298,                 1.1054,                0.80404,                0.36744,                0.46166,                0.31841,                 1.1032,                 1.2718,                 1.3306,              0.0077824,              0.0077824,              0.0077824
                     58,                0.88216,                0.81759,                 1.1056,                0.64612,                0.59329,                 0.6073,                  0.438,                 1.1441,                 1.2582,                 1.3575,              0.0077428,              0.0077428,              0.0077428
                     59,                0.90128,                0.82265,                 1.1074,                0.61278,                0.65396,                 0.5827,                0.40526,                  1.084,                 1.2028,                 1.3032,              0.0077032,              0.0077032,              0.0077032
                     60,                0.87043,                0.78646,                 1.0924,                0.73115,                0.43219,                0.51344,                0.35112,                 1.1043,                 1.2456,                 1.3266,              0.0076636,              0.0076636,              0.0076636
                     61,                0.88109,                0.80295,                 1.0958,                0.48566,                0.57477,                0.55803,                0.40188,                 1.1203,                 1.1639,                 1.3515,               0.007624,               0.007624,               0.007624
                     62,                0.87464,                0.80121,                 1.0952,                0.48508,                0.64039,                0.56208,                0.38369,                 1.1483,                 1.1871,                 1.3687,              0.0075844,              0.0075844,              0.0075844
                     63,                0.87939,                 0.7959,                 1.1026,                0.58907,                0.59599,                0.56722,                0.38859,                  1.121,                  1.233,                 1.3328,              0.0075448,              0.0075448,              0.0075448
                     64,                0.88208,                0.79772,                 1.1055,                0.47039,                0.50498,                0.49535,                0.33857,                 1.1484,                 1.2598,                 1.3448,              0.0075052,              0.0075052,              0.0075052
                     65,                0.88157,                0.78966,                 1.1126,                0.79881,                0.42549,                0.51124,                0.32869,                 1.0982,                 1.1935,                 1.2956,              0.0074656,              0.0074656,              0.0074656
                     66,                0.86975,                0.78366,                 1.0863,                0.68114,                0.46067,                0.55894,                0.40672,                 1.1157,                 1.2417,                 1.3485,               0.007426,               0.007426,               0.007426
                     67,                0.86686,                0.79366,                 1.0998,                0.80566,                 0.4324,                0.52051,                0.35228,                 1.0794,                 1.1817,                 1.3087,              0.0073864,              0.0073864,              0.0073864
                     68,                0.84956,                0.75958,                 1.0835,                0.43972,                0.56511,                0.55386,                0.39451,                 1.1144,                  1.205,                 1.3203,              0.0073468,              0.0073468,              0.0073468
                     69,                 0.8677,                0.75145,                 1.0795,                 0.7176,                0.40406,                0.47002,                0.31614,                  1.125,                 1.2567,                 1.3291,              0.0073072,              0.0073072,              0.0073072
                     70,                0.84757,                0.75538,                 1.0744,                0.44271,                0.56665,                0.51545,                0.34942,                 1.0793,                 1.1718,                 1.3095,              0.0072676,              0.0072676,              0.0072676
                     71,                0.85365,                0.74466,                 1.0849,                 0.5507,                0.45991,                0.49005,                0.34973,                 1.0765,                 1.2044,                 1.2832,               0.007228,               0.007228,               0.007228
                     72,                0.85744,                0.74288,                 1.0773,                0.64274,                0.58747,                0.51348,                0.37109,                 1.0927,                 1.1969,                 1.2837,              0.0071884,              0.0071884,              0.0071884
                     73,                0.84935,                0.72668,                 1.0852,                0.65916,                0.49656,                0.54638,                0.39022,                 1.1038,                 1.1885,                 1.3049,              0.0071488,              0.0071488,              0.0071488
                     74,                0.85179,                0.73815,                 1.0803,                0.46469,                0.55145,                0.51379,                0.34663,                 1.0994,                 1.1822,                 1.3215,              0.0071092,              0.0071092,              0.0071092
                     75,                0.83922,                0.72913,                 1.0716,                0.75732,                 0.4667,                0.51033,                0.33955,                 1.0798,                 1.1507,                 1.2889,              0.0070696,              0.0070696,              0.0070696
                     76,                0.84755,                0.73681,                 1.0865,                0.80141,                0.45325,                0.51332,                0.35445,                 1.0635,                 1.1528,                  1.283,                0.00703,                0.00703,                0.00703
                     77,                0.82835,                0.74052,                  1.074,                0.49079,                0.47998,                0.49624,                0.33632,                 1.0967,                 1.1566,                 1.3262,              0.0069904,              0.0069904,              0.0069904
                     78,                0.83689,                0.71872,                 1.0715,                0.67085,                0.44522,                0.46465,                0.31472,                 1.1042,                 1.2218,                 1.3002,              0.0069508,              0.0069508,              0.0069508
                     79,                0.85256,                0.72665,                 1.0822,                 0.5304,                0.48548,                0.51857,                0.33546,                 1.1458,                 1.1973,                 1.3748,              0.0069112,              0.0069112,              0.0069112
                     80,                0.82986,                 0.7168,                 1.0733,                0.51304,                0.43945,                0.47943,                0.31715,                  1.122,                 1.1911,                 1.3548,              0.0068716,              0.0068716,              0.0068716
                     81,                0.83182,                0.70364,                 1.0661,                0.57187,                0.45008,                0.48438,                0.32814,                  1.118,                 1.2001,                 1.3442,               0.006832,               0.006832,               0.006832
                     82,                0.82589,                0.71429,                 1.0668,                  0.616,                0.42065,                0.48979,                0.32381,                 1.1218,                 1.2666,                 1.3373,              0.0067924,              0.0067924,              0.0067924
                     83,                0.81618,                0.69276,                 1.0552,                0.54042,                0.48002,                0.49316,                0.32659,                 1.1132,                 1.2262,                 1.3194,              0.0067528,              0.0067528,              0.0067528
                     84,                0.83572,                0.71099,                 1.0759,                0.58808,                0.43034,                 0.4846,                0.33866,                 1.1202,                 1.1799,                 1.3222,              0.0067132,              0.0067132,              0.0067132
                     85,                0.80702,                0.70976,                 1.0662,                0.67231,                0.47781,                0.47218,                0.32674,                 1.0916,                 1.1841,                 1.3169,              0.0066736,              0.0066736,              0.0066736
                     86,                0.80559,                0.70123,                 1.0574,                0.59512,                0.41284,                0.48846,                0.33991,                 1.0952,                 1.2183,                 1.2967,               0.006634,               0.006634,               0.006634
                     87,                0.84837,                 0.7086,                 1.0745,                0.53932,                0.45977,                0.49749,                0.33972,                 1.0867,                 1.1851,                  1.287,              0.0065944,              0.0065944,              0.0065944
                     88,                0.81158,                0.68621,                 1.0586,                0.60872,                0.41993,                0.50485,                0.33882,                 1.1137,                  1.187,                 1.3269,              0.0065548,              0.0065548,              0.0065548
                     89,                0.82533,                0.68885,                 1.0689,                0.63088,                 0.4177,                0.48261,                0.33058,                 1.0912,                 1.1837,                 1.2959,              0.0065152,              0.0065152,              0.0065152
                     90,                0.81785,                0.68796,                 1.0658,                0.80959,                0.41892,                0.49828,                0.33639,                 1.1053,                 1.1679,                 1.3122,              0.0064756,              0.0064756,              0.0064756
                     91,                0.80229,                0.66689,                 1.0546,                 0.5837,                0.43458,                0.48088,                 0.3259,                 1.1113,                 1.2029,                 1.3316,               0.006436,               0.006436,               0.006436
                     92,                0.80332,                0.67405,                 1.0557,                0.71644,                0.52992,                0.61272,                 0.4396,                 1.1118,                 1.2162,                 1.3026,              0.0063964,              0.0063964,              0.0063964
                     93,                0.79237,                 0.6548,                 1.0544,                0.73429,                0.58242,                0.57482,                0.39229,                 1.1211,                 1.2686,                 1.3252,              0.0063568,              0.0063568,              0.0063568
                     94,                0.79188,                0.65298,                 1.0539,                0.59369,                0.42069,                0.49164,                0.33652,                  1.112,                 1.2441,                 1.3186,              0.0063172,              0.0063172,              0.0063172
                     95,                0.79289,                0.65413,                 1.0519,                0.53482,                0.48641,                0.50636,                0.33979,                 1.1014,                 1.1785,                 1.3192,              0.0062776,              0.0062776,              0.0062776
                     96,                0.79826,                0.65368,                 1.0567,                0.54016,                0.42104,                0.48316,                0.34591,                 1.0893,                 1.2106,                 1.3178,               0.006238,               0.006238,               0.006238
                     97,                0.79288,                0.66104,                 1.0507,                0.53258,                 0.4424,                0.44697,                0.30452,                 1.1267,                 1.2703,                  1.369,              0.0061984,              0.0061984,              0.0061984
                     98,                0.79881,                0.67291,                 1.0462,                0.63372,                0.42491,                0.46942,                0.32768,                 1.1054,                 1.2309,                 1.3231,              0.0061588,              0.0061588,              0.0061588
                     99,                0.77928,                0.64854,                 1.0469,                0.56585,                0.46411,                0.51615,                0.35302,                 1.0906,                 1.1586,                 1.2925,              0.0061192,              0.0061192,              0.0061192
